src,vertex_type,dest,weight,edge_type
1,L,-131,0,tr
-131,R,1,0,tr
1,L,-300,2,tr
-300,R,1,2,tr
1,L,-570,4,tr
-570,R,1,4,tr
1,L,-778,1,tr
-778,R,1,1,tr

1,L,-1209,2,va
-1209,R,1,2,va
1,L,-1218,3,tr
-1218,R,1,3,tr
1,L,-1232,3,tr
-1232,R,1,3,tr
1,L,-1416,2,tr
-1416,R,1,2,tr
1,L,-1648,3,tr
-1648,R,1,3,tr
1,L,-2347,3,tr
-2347,R,1,3,tr
1,L,-2526,3,va
-2526,R,1,3,va
1,L,-2536,0,tr
-2536,R,1,0,tr
1,L,-2609,3,tr
-2609,R,1,3,tr
1,L,-3008,4,va
-3008,R,1,4,va
1,L,-3291,2,tr
-3291,R,1,2,tr
1,L,-3297,1,va
-3297,R,1,1,va
1,L,-4031,3,tr
-4031,R,1,3,tr
1,L,-4068,2,va
-4068,R,1,2,va
1,L,-4339,1,tr
-4339,R,1,1,tr
1,L,-4381,4,tr
-4381,R,1,4,tr
1,L,-4484,4,va
-4484,R,1,4,va
1,L,-4560,4,tr
-4560,R,1,4,tr
1,L,-4781,2,tr
-4781,R,1,2,tr
1,L,-4924,2,tr
-4924,R,1,2,tr
1,L,-5457,2,tr
-5457,R,1,2,tr
1,L,-5472,2,tr
-5472,R,1,2,tr
1,L,-5714,2,tr
-5714,R,1,2,tr
1,L,-6068,1,te
-6068,R,1,1,te
1,L,-6094,4,tr
-6094,R,1,4,tr
1,L,-6099,2,va
-6099,R,1,2,va
1,L,-7325,4,tr
-7325,R,1,4,tr
1,L,-7335,5,tr
-7335,R,1,5,tr
1,L,-7491,0,tr
-7491,R,1,0,tr
1,L,-7726,2,tr
-7726,R,1,2,tr
1,L,-7857,0,tr
-7857,R,1,0,tr
1,L,-8593,3,va
-8593,R,1,3,va
1,L,-8713,2,va
-8713,R,1,2,va
1,L,-8850,3,va
-8850,R,1,3,va
1,L,-9635,2,tr
-9635,R,1,2,tr
1,L,-9653,4,tr
-9653,R,1,4,tr
1,L,-9712,5,tr
-9712,R,1,5,tr
1,L,-9962,4,tr
-9962,R,1,4,tr
1,L,-10067,3,tr
-10067,R,1,3,tr
1,L,-10287,2,va
-10287,R,1,2,va
1,L,-10428,2,tr
-10428,R,1,2,tr
1,L,-11160,2,tr
-11160,R,1,2,tr
1,L,-11777,2,tr
-11777,R,1,2,tr
1,L,-12432,2,tr
-12432,R,1,2,tr
1,L,-12549,3,va
-12549,R,1,3,va
1,L,-14057,4,tr
-14057,R,1,4,tr
1,L,-14107,3,va
-14107,R,1,3,va
1,L,-14366,3,tr
-14366,R,1,3,tr
1,L,-14445,4,va
-14445,R,1,4,va
1,L,-14536,4,te
-14536,R,1,4,te
2,L,-321,2,tr
-321,R,2,2,tr
2,L,-705,3,tr
-705,R,2,3,tr
2,L,-929,3,tr
-929,R,2,3,tr
2,L,-953,4,tr
-953,R,2,4,tr
2,L,-1120,3,tr
-1120,R,2,3,tr
2,L,-1359,3,tr
-1359,R,2,3,tr
2,L,-1754,4,tr
-1754,R,2,4,tr
2,L,-1783,1,va
-1783,R,2,1,va
2,L,-2263,2,tr
-2263,R,2,2,tr
2,L,-2668,3,tr
-2668,R,2,3,tr
2,L,-3020,4,tr
-3020,R,2,4,tr
2,L,-3262,3,tr
-3262,R,2,3,tr
2,L,-3391,4,va
-3391,R,2,4,va
2,L,-3556,2,tr
-3556,R,2,2,tr
2,L,-3625,2,tr
-3625,R,2,2,tr
2,L,-4060,2,tr
-4060,R,2,2,tr
2,L,-4478,4,tr
-4478,R,2,4,tr
2,L,-4986,3,tr
-4986,R,2,3,tr
2,L,-5013,4,tr
-5013,R,2,4,tr
2,L,-5064,4,tr
-5064,R,2,4,tr
2,L,-5371,3,tr
-5371,R,2,3,tr
2,L,-5466,4,te
-5466,R,2,4,te
2,L,-5778,3,tr
-5778,R,2,3,tr
2,L,-6265,3,tr
-6265,R,2,3,tr
2,L,-6483,2,tr
-6483,R,2,2,tr
2,L,-6487,5,va
-6487,R,2,5,va
2,L,-6589,3,te
-6589,R,2,3,te
2,L,-6765,5,va
-6765,R,2,5,va
2,L,-7131,4,tr
-7131,R,2,4,tr
2,L,-7214,4,va
-7214,R,2,4,va
2,L,-7282,4,tr
-7282,R,2,4,tr
2,L,-7361,2,tr
-7361,R,2,2,tr
2,L,-8048,3,tr
-8048,R,2,3,tr
2,L,-8282,3,tr
-8282,R,2,3,tr
2,L,-8427,4,tr
-8427,R,2,4,tr
2,L,-8445,2,tr
-8445,R,2,2,tr
2,L,-8462,3,va
-8462,R,2,3,va
2,L,-9172,2,tr
-9172,R,2,2,tr
2,L,-9224,5,tr
-9224,R,2,5,tr
2,L,-9507,3,va
-9507,R,2,3,va
2,L,-9643,3,va
-9643,R,2,3,va
2,L,-10400,4,te
-10400,R,2,4,te
2,L,-10607,4,tr
-10607,R,2,4,tr
2,L,-10826,2,tr
-10826,R,2,2,tr
2,L,-10866,2,te
-10866,R,2,2,te
2,L,-11287,4,va
-11287,R,2,4,va
2,L,-11379,5,tr
-11379,R,2,5,tr
2,L,-11885,4,tr
-11885,R,2,4,tr
2,L,-12122,3,va
-12122,R,2,3,va
2,L,-12287,3,tr
-12287,R,2,3,tr
2,L,-12299,0,tr
-12299,R,2,0,tr
2,L,-12585,2,va
-12585,R,2,2,va
2,L,-12975,3,tr
-12975,R,2,3,tr
2,L,-13254,5,va
-13254,R,2,5,va
2,L,-13270,3,tr
-13270,R,2,3,tr
2,L,-13286,4,tr
-13286,R,2,4,tr
2,L,-13359,3,tr
-13359,R,2,3,tr
2,L,-13484,4,tr
-13484,R,2,4,tr
2,L,-13738,3,tr
-13738,R,2,3,tr
2,L,-13742,3,tr
-13742,R,2,3,tr
2,L,-13907,2,tr
-13907,R,2,2,tr
2,L,-13920,3,tr
-13920,R,2,3,tr
2,L,-13958,2,tr
-13958,R,2,2,tr
2,L,-14086,3,va
-14086,R,2,3,va
2,L,-14225,1,tr
-14225,R,2,1,tr
2,L,-14521,2,tr
-14521,R,2,2,tr
2,L,-14850,3,tr
-14850,R,2,3,tr
3,L,-185,2,tr
-185,R,3,2,tr
3,L,-735,3,tr
-735,R,3,3,tr
3,L,-928,2,va
-928,R,3,2,va
3,L,-1100,2,tr
-1100,R,3,2,tr
3,L,-1204,5,va
-1204,R,3,5,va
3,L,-1623,3,va
-1623,R,3,3,va
3,L,-2071,3,tr
-2071,R,3,3,tr
3,L,-2178,2,tr
-2178,R,3,2,tr
3,L,-2718,2,tr
-2718,R,3,2,tr
3,L,-2971,2,te
-2971,R,3,2,te
3,L,-3020,3,tr
-3020,R,3,3,tr
3,L,-4161,3,tr
-4161,R,3,3,tr
3,L,-4552,2,tr
-4552,R,3,2,tr
3,L,-4602,1,tr
-4602,R,3,1,tr
3,L,-4651,5,tr
-4651,R,3,5,tr
3,L,-5471,4,tr
-5471,R,3,4,tr
3,L,-5816,2,tr
-5816,R,3,2,tr
3,L,-5871,2,tr
-5871,R,3,2,tr
3,L,-6007,1,tr
-6007,R,3,1,tr
3,L,-6036,2,tr
-6036,R,3,2,tr
3,L,-7123,2,va
-7123,R,3,2,va
3,L,-7597,2,tr
-7597,R,3,2,tr
3,L,-8054,3,te
-8054,R,3,3,te
3,L,-8290,1,tr
-8290,R,3,1,tr
3,L,-8379,3,tr
-8379,R,3,3,tr
3,L,-8456,4,te
-8456,R,3,4,te
3,L,-8526,4,va
-8526,R,3,4,va
3,L,-8721,3,tr
-8721,R,3,3,tr
3,L,-8778,2,tr
-8778,R,3,2,tr
3,L,-10551,0,tr
-10551,R,3,0,tr
3,L,-10719,2,tr
-10719,R,3,2,tr
3,L,-11514,4,tr
-11514,R,3,4,tr
3,L,-11589,2,tr
-11589,R,3,2,tr
3,L,-11927,2,va
-11927,R,3,2,va
3,L,-12137,3,tr
-12137,R,3,3,tr
3,L,-12521,2,va
-12521,R,3,2,va
